,experimentVariant,hits
0,Контрольная,68
1,Контрольная,45
2,Контрольная,66
3,Контрольная,29
4,Контрольная,39
5,Контрольная,27
6,Контрольная,33
7,Контрольная,44
8,Контрольная,28
9,Контрольная,29
10,Контрольная,28
11,Контрольная,30
12,Контрольная,36
13,Контрольная,36
14,Контрольная,30
15,Контрольная,29
16,Контрольная,53
17,Контрольная,27
18,Контрольная,35
19,Контрольная,26
20,Контрольная,32
21,Контрольная,50
22,Контрольная,46
23,Контрольная,42
24,Контрольная,66
25,Контрольная,203
26,Контрольная,105
27,Контрольная,58
28,Контрольная,33
29,Контрольная,69
30,Контрольная,32
31,Контрольная,62
32,Контрольная,29
33,Контрольная,29
34,Контрольная,31
35,Контрольная,40
36,Контрольная,28
37,Контрольная,29
38,Контрольная,30
39,Контрольная,31
40,Контрольная,26
41,Контрольная,36
42,Контрольная,43
43,Контрольная,30
44,Контрольная,68
45,Контрольная,26
46,Контрольная,29
47,Контрольная,327
48,Контрольная,28
49,Контрольная,27
50,Контрольная,150
51,Контрольная,36
52,Контрольная,58
53,Контрольная,27
54,Контрольная,35
55,Контрольная,88
56,Контрольная,71
57,Контрольная,32
58,Контрольная,82
59,Контрольная,30
60,Контрольная,32
61,Контрольная,72
62,Контрольная,32
63,Контрольная,30
64,Контрольная,55
65,Контрольная,26
66,Контрольная,33
67,Контрольная,167
68,Контрольная,29
69,Контрольная,61
70,Контрольная,42
71,Контрольная,35
72,Контрольная,138
73,Контрольная,39
74,Контрольная,57
75,Контрольная,61
76,Контрольная,26
77,Контрольная,46
78,Контрольная,78
79,Контрольная,82
80,Контрольная,107
81,Контрольная,32
82,Контрольная,26
83,Контрольная,36
84,Контрольная,124
85,Контрольная,85
86,Контрольная,46
87,Контрольная,59
88,Контрольная,71
89,Контрольная,47
90,Контрольная,43
91,Контрольная,113
92,Контрольная,67
93,Контрольная,62
94,Контрольная,28
95,Контрольная,44
96,Контрольная,45
97,Контрольная,39
98,Контрольная,51
99,Контрольная,28
100,Контрольная,36
101,Контрольная,27
102,Контрольная,28
103,Контрольная,30
104,Контрольная,65
105,Контрольная,56
106,Контрольная,31
107,Контрольная,55
108,Контрольная,27
109,Контрольная,52
110,Контрольная,41
111,Контрольная,33
112,Контрольная,64
113,Контрольная,102
114,Контрольная,69
